Haig Glacier Automatic Weather Station;;;;;;;;;;;;;;;;
Daily mean meteorological conditions, 2002-2015;;;;;;;lon;115.3018 W;;;;;;;albedo_flag=0:  estimated;
All data are mean daily values calculated from 30-minute AWS data.;;;;;;;lat;50.7124 N;;;;;;;albedo_flag=1: measured;
Missing data is gap-filled from the forefield AWS (lapsed/adjusted);;;;;;;elev;2665 m;;;;;;;;
See Marshall (HESS, 2014) and Marshall and Miller (Cryosphere, 2020) concerning the gap-filling methods.;;;;;;;;;;;;;;;;
;;;;;;;;;;SW in;SW out;;LW in;LW out;  albedo;
2005;134;2,0;0,8;3,6;95,8;5,64;6,76;748,8;2,46;130,1;102,1;0,78;331,5;309,3;0;
2005;135;2,7;-0,4;5,6;87,9;5,45;6,54;743,5;2,34;235,9;181,1;0,77;319,3;309,3;0;
2005;136;2,6;0,9;4,4;95,3;5,84;7,02;734,5;2,22;216,3;157,9;0,73;333,6;309,3;0;
2005;137;-0,5;-2,3;2,2;100,0;5,14;6,16;733,0;1,97;124,8;88,5;0,71;327,2;298,3;0;
2005;138;-0,9;-3,2;2,0;87,5;4,19;5,01;735,6;3,28;250,7;182,5;0,73;301,0;296,4;0;
2005;139;-2,2;-3,6;-0,5;100,0;4,40;5,24;739,1;4,25;158,2;121,6;0,77;318,5;290,9;0;
2005;140;-2,0;-3,8;2,3;87,2;3,85;4,59;743,5;3,41;265,6;209,6;0,79;295,1;291,5;0;
2005;141;-3,0;-5,0;-0,8;90,7;3,74;4,46;746,2;2,97;219,9;174,7;0,79;297,3;287,5;0;
2005;142;-3,2;-4,3;-1,3;97,8;3,95;4,71;743,7;3,72;164,4;128,2;0,78;309,1;286,3;0;
2005;143;-3,5;-5,4;-1,2;85,1;3,37;4,02;746,1;4,11;221,6;176,1;0,79;284,5;285,2;0;
2005;144;-1,9;-6,0;1,3;76,6;3,40;4,07;750,2;2,78;332,5;257,5;0,77;275,8;292,0;0;
2005;145;-0,2;-4,8;3,6;70,2;3,53;4,24;755,8;2,87;264,7;210,8;0,80;270,9;299,6;0;
2005;146;1,7;-3,5;5,7;53,8;3,10;3,71;756,9;3,89;441,7;364,6;0,83;246,0;309,3;0;
2005;147;3,5;-1,9;8,2;52,3;3,45;4,12;752,9;3,50;399,3;335,0;0,84;250,2;309,3;0;
2005;148;5,0;-0,3;9,4;60,0;4,38;5,23;750,1;2,91;364,0;287,9;0,79;272,1;309,3;0;
2005;149;4,0;-0,8;8,5;58,0;3,93;4,72;750,7;3,17;392,5;297,4;0,76;263,9;309,3;0;
2005;150;4,5;0,7;10,1;65,6;4,63;5,54;748,6;3,36;425,7;329,7;0,77;281,8;309,3;0;
2005;151;3,9;0,1;8,6;78,3;5,29;6,34;744,2;3,40;219,6;164,5;0,75;305,5;309,3;0;
2005;152;0,9;-0,8;2,9;100,0;5,68;6,80;741,4;2,05;144,5;107,4;0,74;334,1;309,3;0;
2005;153;1,3;-0,9;3,6;96,1;5,38;6,44;742,9;3,34;130,9;96,2;0,73;328,4;309,3;0;
2005;154;1,4;-0,6;3,3;100,0;5,74;6,90;742,9;2,85;165,1;124,6;0,75;336,9;309,3;0;
2005;155;2,1;-0,1;5,8;100,0;6,05;7,27;743,8;1,64;186,9;135,4;0,72;340,8;309,3;0;
2005;156;2,0;0,2;4,2;100,0;6,09;7,31;741,8;1,19;150,7;111,5;0,74;340,2;309,3;0;
2005;157;-0,7;-2,6;2,2;100,0;5,29;6,34;741,5;2,88;81,9;61,9;0,76;326,2;297,3;0;
2005;158;-1,3;-3,5;-0,3;95,3;4,43;5,29;739,8;4,83;198,8;163,0;0,82;313,8;294,7;0;
2005;159;-0,3;-4,3;6,1;100,0;5,35;6,41;742,5;4,08;262,0;212,8;0,81;328,0;298,9;0;
2005;160;1,8;-0,8;4,4;84,9;4,92;5,89;743,8;1,59;236,8;187,6;0,79;308,6;309,3;0;
2005;161;2,2;-0,6;6,9;89,9;5,37;6,43;743,2;1,45;191,6;148,2;0,77;320,7;309,3;0;
2005;162;1,3;-0,3;4,2;95,6;5,36;6,42;741,7;2,12;197,5;151,8;0,77;327,6;309,3;0;
2005;163;1,1;-1,8;6,6;90,0;4,96;5,96;743,8;1,50;184,5;139,0;0,75;315,6;309,3;0;
2005;164;-1,0;-1,8;0,3;93,5;4,41;5,31;746,1;2,84;112,1;79,8;0,71;311,9;295,9;0;
2005;165;0,2;-2,3;4,1;72,1;3,72;4,46;744,8;2,69;294,6;218,0;0,74;276,1;309,3;0;
2005;166;-1,5;-3,2;0,9;84,3;3,83;4,60;743,6;3,40;190,3;144,4;0,76;291,8;293,6;0;
2005;167;2,5;-3,7;9,8;70,0;4,25;5,11;745,9;2,97;268,0;206,6;0,77;281,8;309,3;0;
2005;168;1,5;-2,8;4,0;100,0;6,18;7,44;740,4;2,46;38,4;30,3;0,79;337,5;309,3;0;
2005;169;-1,0;-2,5;1,4;100,0;5,08;6,12;740,0;1,43;112,1;86,3;0,77;324,6;295,9;0;
2005;170;0,9;-1,7;3,1;94,0;5,11;6,15;748,0;3,32;188,5;139,5;0,74;322,5;309,3;0;
2005;171;5,4;1,8;9,3;68,6;5,10;6,15;753,7;2,54;421,2;299,5;0,71;292,0;309,3;0;
2005;172;9,3;5,7;13,1;51,4;4,99;6,01;752,5;2,98;420,0;286,6;0,68;271,3;309,3;0;
2005;173;7,7;0,5;13,3;54,5;4,75;5,73;745,5;5,52;284,4;190,8;0,67;271,5;309,3;0;
2005;174;0,3;-1,7;2,5;65,8;3,40;4,10;747,2;3,72;169,6;119,7;0,71;264,1;309,3;0;
2005;175;1,2;-1,3;5,0;73,6;4,05;4,89;748,5;2,21;195,4;135,1;0,69;283,4;309,3;0;
2005;176;1,3;-0,3;3,3;95,3;5,29;6,39;744,5;1,81;165,7;117,7;0,71;326,8;309,3;0;
2005;177;2,5;0,0;5,7;86,0;5,20;6,28;746,3;1,51;186,1;122,0;0,66;314,3;309,3;0;
2005;178;2,5;1,0;4,2;100,0;6,19;7,47;746,8;1,34;79,5;52,7;0,66;342,8;309,3;0;
2005;179;1,3;0,0;3,0;100,0;5,70;6,87;746,8;1,12;118,5;75,3;0,64;336,5;309,3;0;
2005;180;4,5;0,2;8,2;83,2;5,82;7,01;750,6;1,70;277,1;172,1;0,62;318,5;309,3;0;
2005;181;4,5;2,8;6,4;95,7;6,68;8,04;750,0;1,77;128,8;85,0;0,66;344,4;309,3;0;
2005;182;4,8;1,5;7,5;74,1;5,29;6,38;746,2;2,11;290,1;191,8;0,66;300,9;309,3;0;
2005;183;2,1;-1,4;5,1;84,1;4,94;5,96;743,8;2,23;199,8;128,9;0,65;308,3;309,3;0;
2005;184;2,1;-0,8;5,0;75,8;4,47;5,40;748,7;2,57;207,4;132,5;0,64;291,9;309,3;0;
2005;185;4,8;3,2;6,9;80,2;5,72;6,90;752,3;3,29;129,5;83,1;0,64;313,7;309,3;0;
2005;186;8,0;4,4;11,7;73,0;6,50;7,85;751,1;2,86;268,7;181,0;0,67;314,0;309,3;0;
2005;187;6,8;1,2;9,5;79,4;6,49;7,82;744,9;5,09;110,1;69,8;0,63;321,8;309,3;0;
2005;188;4,2;0,5;6,8;78,3;5,34;6,44;746,3;3,32;231,5;143,5;0,62;306,6;309,3;0;
2005;189;5,3;2,5;8,0;67,8;5,04;6,03;745,0;3,04;172,0;97,7;0,57;276,0;308,1;1;
2005;190;1,8;-0,3;5,3;84,1;4,88;5,84;744,1;3,27;193,4;140,7;0,73;312,2;309,8;1;
2005;191;1,6;-1,1;4,3;80,6;4,60;5,52;747,1;2,16;208,6;140,0;0,67;310,2;305,1;1;
2005;192;2,7;1,1;4,7;85,4;5,23;6,31;751,0;2,57;102,1;62,7;0,61;319,4;309,6;1;
2005;193;7,2;3,8;11,2;63,6;5,23;6,33;753,1;2,71;232,2;133,2;0,57;276,6;310,8;1;
2005;194;6,3;3,7;8,3;62,2;4,89;5,91;752,4;2,72;176,9;99,1;0,56;266,6;310,0;1;
2005;195;5,0;1,6;8,7;56,6;4,07;4,94;754,6;3,61;287,3;164,9;0,57;243,9;307,1;1;
2005;196;7,3;5,4;9,9;63,8;5,40;6,50;749,6;3,92;207,8;118,2;0,57;288,0;311,4;1;
2005;197;2,8;1,0;5,3;87,7;5,47;6,56;746,1;1,88;95,8;56,8;0,59;322,5;310,0;1;
2005;198;5,0;0,8;8,4;74,7;5,36;6,49;753,5;2,68;262,1;153,7;0,59;285,7;311,1;1;
2005;199;7,6;4,8;10,5;64,4;5,53;6,64;747,9;3,96;238,8;133,4;0,56;273,0;311,2;1;
2005;200;7,0;3,3;9,3;56,7;4,66;5,59;745,2;3,21;255,1;141,5;0,55;276,0;310,8;1;
2005;201;7,3;1,9;11,7;57,3;4,60;5,54;749,4;2,55;277,5;156,0;0,56;264,9;311,2;1;
2005;202;9,6;5,3;14,0;38,5;3,76;4,56;754,9;2,66;340,1;191,7;0,56;231,7;309,7;1;
2005;203;8,2;5,6;11,3;62,3;5,44;6,56;750,5;2,88;36,7;15,2;0,42;306,1;313,9;1;
2005;204;5,5;3,6;8,0;64,5;4,76;5,73;749,5;4,87;283,2;161,0;0,57;288,3;311,6;1;
2005;205;5,0;1,3;7,6;59,8;4,25;5,13;751,3;2,44;237,7;132,9;0,56;268,3;310,4;1;
2005;206;3,5;-1,0;8,3;67,1;4,15;5,04;754,7;1,37;217,5;122,3;0,56;258,6;308,1;1;
2005;207;5,1;1,9;8,9;59,2;4,24;5,16;755,9;2,47;206,7;115,1;0,56;267,0;308,0;1;
2005;208;7,6;3,7;11,0;61,0;5,18;6,28;754,1;2,49;244,5;133,2;0,54;281,5;312,4;1;
2005;209;10,4;6,3;13,0;52,8;5,46;6,59;751,4;3,12;220,8;119,2;0,54;270,0;313,2;1;
2005;210;10,7;7,5;13,1;45,5;4,80;5,80;750,7;3,07;257,8;141,6;0,55;259,2;313,3;1;
2005;211;10,1;7,6;13,0;42,8;4,31;5,23;754,1;3,49;256,3;136,7;0,53;255,4;312,7;1;
2005;212;11,4;8,2;15,2;34,8;3,82;4,64;754,4;2,66;322,7;153,7;0,48;243,6;311,8;1;
2005;213;11,0;6,7;12,9;41,5;4,48;5,40;750,3;3,29;182,7;75,8;0,42;273,9;312,5;1;
2005;214;5,4;3,7;7,7;53,9;3,93;4,75;751,1;2,91;289,0;108,2;0,37;262,8;309,0;1;
2005;215;5,8;0,0;11,0;44,0;3,16;3,84;756,7;2,20;327,1;111,8;0,34;212,0;303,8;1;
2005;216;9,6;6,9;12,8;36,5;3,58;4,37;757,8;3,11;273,1;87,2;0,32;233,9;309,1;1;
2005;217;11,7;8,7;14,8;32,4;3,60;4,38;755,7;3,22;317,2;86,0;0,27;237,2;311,4;1;
2005;218;12,0;8,3;14,9;33,8;3,87;4,69;754,3;2,80;300,4;71,2;0,24;248,4;311,5;1;
2005;219;10,8;5,0;14,4;45,8;4,71;5,70;752,0;2,77;287,0;51,7;0,18;258,7;312,6;1;
2005;220;5,8;2,9;10,8;86,1;6,43;7,78;752,5;1,51;212,1;35,5;0,17;317,0;317,2;1;
2005;221;5,5;2,2;11,5;80,0;5,76;6,98;753,6;1,65;256,2;48,1;0,19;301,1;313,2;1;
2005;222;2,1;0,8;3,9;96,1;5,64;6,83;753,4;1,37;100,8;15,4;0,15;324,1;311,9;1;
2005;223;3,9;1,0;7,6;70,2;4,66;5,65;754,3;3,17;212,1;43,9;0,21;291,6;308,1;1;
2005;224;0,8;-1,5;4,4;83,5;4,45;5,41;754,8;1,99;185,2;103,1;0,56;286,3;307,0;1;
2005;225;3,4;-2,4;8,6;65,7;4,21;5,11;754,2;2,43;265,0;89,0;0,34;223,6;302,9;1;
2005;226;6,7;4,0;10,2;60,7;4,88;5,90;752,4;2,55;250,5;50,2;0,20;261,0;309,5;1;
2005;227;7,6;2,9;11,0;62,9;5,31;6,42;752,8;2,06;205,6;36,5;0,18;273,7;311,0;1;
2005;228;7,1;3,6;9,3;67,5;5,58;6,73;750,6;2,11;152,1;24,7;0,16;297,6;311,3;1;
2005;229;1,3;-1,7;5,8;90,1;5,09;6,09;745,1;2,23;82,2;61,9;0,75;314,7;308,0;1;
2005;230;0,2;-2,8;3,9;76,1;3,85;4,62;746,2;2,57;168,2;125,9;0,75;260,0;302,3;1;
2005;231;3,7;-3,5;8,7;56,3;3,73;4,49;749,6;2,53;292,4;157,5;0,54;209,5;301,3;1;
2005;232;7,9;4,4;10,7;53,2;4,65;5,64;754,0;3,79;238,7;56,2;0,24;242,9;308,9;1;
2005;233;9,9;6,5;13,3;47,6;4,70;5,70;754,6;3,31;292,1;54,1;0,19;235,0;309,4;1;
2005;234;8,0;4,1;10,8;60,4;5,29;6,38;750,3;2,58;147,2;20,1;0,14;282,9;310,1;1;
2005;235;0,8;-2,3;6,8;90,4;4,90;5,86;744,8;3,12;47,5;32,8;0,69;303,8;305,2;1;
2005;236;-1,1;-2,3;0,1;95,2;4,47;5,37;747,0;4,53;138,8;117,9;0,85;300,6;304,0;1;
2005;237;3,0;-2,2;7,9;65,5;4,06;4,90;751,4;3,39;268,2;210,0;0,78;213,4;299,4;1;
2005;238;6,7;0,5;10,4;53,4;4,27;5,16;752,1;3,06;254,5;186,5;0,73;225,3;305,1;1;
2005;239;8,6;4,3;11,5;47,2;4,32;5,22;752,0;2,76;260,8;185,7;0,71;233,8;309,4;1;
2005;240;8,8;6,0;11,8;48,6;4,52;5,45;749,8;2,64;236,6;138,7;0,59;233,5;310,2;1;
2005;241;6,1;-0,8;11,4;53,3;3,96;4,73;744,0;3,03;137,4;58,1;0,42;268,4;307,4;1;
2005;242;0,1;-1,4;2,2;82,2;4,21;5,06;748,4;2,95;103,4;65,8;0,64;285,0;305,1;1;
2005;243;1,8;0,2;4,8;75,2;4,32;5,22;751,4;3,14;129,5;70,5;0,54;281,4;307,1;1;
2005;244;4,0;2,1;5,8;70,5;4,76;5,74;751,3;2,28;134,3;55,3;0,41;288,9;309,1;1;
2005;245;6,1;3,0;8,9;64,1;4,95;5,97;749,0;2,10;192,6;46,5;0,24;261,3;309,3;1;
2005;246;5,1;2,6;6,8;62,7;4,54;5,46;747,1;2,41;110,1;36,1;0,33;278,4;309,4;1;
2005;247;1,5;-0,5;3,2;76,9;4,33;5,21;747,6;2,19;85,7;42,6;0,50;296,9;306,2;1;
2005;248;-0,6;-2,5;3,0;75,1;3,59;4,34;751,1;2,70;159,0;121,0;0,76;266,0;297,0;1;
2005;249;1,7;-5,0;6,0;54,2;3,04;3,68;754,2;2,28;212,1;168,4;0,79;198,2;290,3;1;
2005;250;4,2;2,0;6,9;40,6;2,79;3,38;752,9;3,06;202,7;117,4;0,58;223,4;300,3;1;
2005;251;4,7;2,0;7,1;62,7;4,42;5,31;746,9;2,78;117,7;59,9;0,51;268,3;308,0;1;
2005;252;0,2;-2,5;3,7;95,1;4,99;5,93;739,9;1,77;22,5;7,5;0,33;306,5;306,9;1;
2005;253;-2,0;-3,0;-0,9;89,7;3,97;4,75;743,4;4,44;73,3;56,4;0,77;295,7;298,3;1;
2005;254;-2,4;-3,6;-1,1;88,5;3,80;4,55;744,5;3,16;127,5;16,4;0,13;274,1;296,1;1;
2005;255;-1,0;-3,4;7,3;87,1;4,11;4,94;747,0;1,43;114,6;8,2;0,07;284,2;299,0;1;
2005;256;-0,9;-7,2;0,9;89,3;4,25;5,10;746,9;2,90;95,8;60,0;0,63;300,2;303,0;0;
2005;257;0,9;-0,2;2,1;88,7;4,81;5,77;746,0;2,72;71,9;39,9;0,56;307,3;309,5;0;
2005;258;0,5;-0,8;2,4;85,7;4,51;5,40;746,1;1,85;20,5;9,7;0,47;304,2;308,2;0;
2005;259;0,3;-2,3;7,4;86,0;4,47;5,37;747,0;1,00;13,4;6,8;0,51;282,2;307,8;0;
2005;260;0,1;-3,7;4,1;74,6;3,84;4,61;747,9;1,71;222,4;160,1;0,72;280,8;309,3;0;
2005;261;1,1;-0,9;2,7;60,1;3,33;4,00;747,9;3,13;83,7;57,2;0,68;244,9;301,2;0;
2005;262;0,5;-0,7;1,6;74,7;3,95;4,74;745,7;4,66;49,0;36,6;0,75;293,9;305,9;0;
2005;263;-1,1;-4,9;0,5;68,0;3,19;3,83;748,6;3,26;110,6;75,9;0,69;266,1;301,3;0;
2005;264;-3,4;-7,0;-0,5;69,0;2,73;3,28;750,8;2,95;240,7;159,9;0,66;255,4;285,5;0;
2005;265;-3,9;-9,5;-1,5;87,0;3,32;3,98;746,7;2,86;120,3;80,4;0,67;286,2;283,3;0;
2005;266;-5,1;-9,8;0,7;71,4;2,48;2,98;746,6;3,43;165,6;109,0;0,66;253,0;278,2;0;
2005;267;-2,6;-7,1;1,6;68,9;2,88;3,47;747,6;2,96;178,2;129,5;0,73;258,4;289,0;0;
2005;268;-0,3;-5,8;2,8;69,6;3,48;4,19;748,3;3,39;35,8;26,0;0,73;241,4;298,6;0;
2005;269;1,6;0,2;3,6;72,3;4,11;4,94;746,9;3,55;91,9;68,5;0,75;287,9;306,2;0;
2005;270;-2,7;-5,9;2,6;85,9;3,59;4,33;749,7;2,10;25,9;19,8;0,76;269,5;301,7;0;
2005;271;-0,1;-4,9;2,6;49,8;2,52;3,04;750,7;4,49;58,2;42,9;0,74;234,1;295,3;0;
2005;272;0,1;-0,8;2,4;93,4;4,83;5,76;740,6;5,49;18,4;14,6;0,79;317,0;309,3;0;
2005;273;0,3;-2,4;2,3;77,6;4,08;4,84;737,7;3,74;90,0;71,1;0,79;287,2;309,3;0;
2005;274;-3,7;-6,7;-1,4;94,2;3,74;4,42;733,8;1,71;133,7;100,3;0,75;300,3;284,4;0;
2005;275;-6,2;-8,6;-3,8;92,2;2,99;3,55;739,8;1,60;160,7;112,2;0,70;285,2;273,7;0;
2005;276;-7,3;-16,4;-1,9;91,8;2,80;3,36;745,5;1,35;124,1;85,6;0,69;279,9;269,3;0;
2005;277;-6,9;-15,9;-0,4;91,4;2,86;3,46;751,3;0,87;88,5;61,6;0,70;281,0;271,1;0;
2005;278;-5,9;-13,4;-5,8;80,5;2,63;3,18;752,0;2,03;89,8;65,7;0,73;266,1;275,2;0;
2005;279;-3,6;-3,6;-3,6;100,0;3,98;4,77;745,0;3,11;43,0;35,5;0,83;311,3;284,7;0;
2005;280;-3,9;-3,9;-3,9;96,3;3,70;4,39;737,6;3,08;77,6;65,6;0,85;302,9;283,3;0;
2005;281;-4,9;-4,9;-4,9;78,1;2,80;3,33;740,6;1,94;165,9;133,4;0,80;266,0;279,4;0;
2005;282;-4,6;-4,6;-4,6;79,1;2,85;3,43;747,6;2,41;159,2;123,6;0,78;268,7;280,3;0;
2005;283;-0,9;-0,9;-0,9;95,2;4,52;5,44;748,3;3,48;156,7;128,5;0,82;315,5;296,4;0;
2005;284;-1,3;-3,0;0,5;91,8;4,24;5,09;747,6;2,91;125,2;101,7;0,81;307,1;294,5;0;
2005;285;-1,7;-2,8;-0,8;88,3;3,96;4,76;746,8;5,82;65,9;50,6;0,77;298,7;292,8;0;
2005;286;-2,9;-4,3;-1,6;96,3;3,95;4,74;743,6;5,01;107,7;80,5;0,75;307,8;287,5;0;
2005;287;-2,4;-6,1;2,8;85,9;3,68;4,42;747,6;2,83;100,4;72,0;0,72;291,2;290,1;0;
2005;288;3,4;-0,8;6,7;68,4;4,47;5,35;741,5;4,72;203,6;140,5;0,69;282,8;309,3;0;
2005;289;-1,7;-2,9;-0,6;96,1;4,33;5,18;740,7;5,40;39,9;30,5;0,76;313,3;292,8;0;
2005;290;-2,0;-3,7;-0,8;100,0;4,95;5,90;739,8;3,92;55,3;44,9;0,81;319,6;291,4;0;
2005;291;-3,2;-6,6;0,4;76,7;3,10;3,71;744,9;3,35;86,3;69,5;0,80;270,5;286,5;0;
2005;292;-1,3;-4,2;1,4;73,9;3,44;4,10;741,7;3,64;62,9;48,9;0,78;273,2;294,6;0;
2005;293;-4,0;-8,1;-2,5;81,4;3,10;3,71;746,8;2,58;29,6;22,9;0,78;275,8;283,2;0;
2005;294;-5,9;-9,5;-3,4;78,4;2,56;3,08;752,4;4,04;89,3;71,4;0,80;262,2;274,9;0;
2005;295;0,7;-3,8;4,8;78,0;4,16;5,00;750,7;3,04;111,7;88,5;0,79;289,8;309,3;0;
2005;296;4,0;2,3;6,0;71,1;4,82;5,77;748,4;3,92;135,2;102,4;0,76;290,7;309,3;0;
2005;297;2,7;1,6;4,2;75,1;4,68;5,57;750,2;4,62;141,2;99,9;0,71;293,2;309,3;0;
2005;298;4,7;1,5;7,4;61,7;4,41;5,28;748,1;3,43;120,8;93,0;0,77;274,4;309,3;0;
2005;299;-0,8;-5,8;4,6;87,7;4,23;5,05;741,2;6,75;91,2;65,2;0,71;301,7;296,8;0;
2005;300;-5,9;-6,6;-4,1;100,0;3,39;4,06;741,3;2,75;120,4;88,5;0,73;300,3;274,9;0;
2005;301;-5,9;-7,6;-3,5;100,0;3,30;3,94;738,8;5,75;77,5;63,6;0,82;300,3;275,0;0;
2005;302;-7,1;-8,3;-5,6;100,0;3,20;3,82;742,7;4,29;50,0;35,5;0,71;295,1;270,3;0;
2005;303;-8,3;-9,0;-7,6;100,0;2,77;3,31;748,4;4,73;98,9;68,3;0,69;289,1;265,1;0;
2005;304;-6,9;-8,3;-5,6;98,6;3,01;3,60;742,4;5,75;32,8;24,8;0,76;293,3;270,9;0;
2005;305;-6,6;-7,5;-4,8;100,0;3,27;3,92;737,6;2,82;54,6;42,3;0,78;297,2;272,2;0;
2005;306;-9,0;-11,1;-7,2;94,8;2,46;2,95;736,3;4,01;96,8;71,1;0,73;277,5;262,6;0;
2005;307;-9,7;-11,8;-8,7;93,2;2,28;2,72;732,4;4,58;80,2;63,3;0,79;271,5;259,5;0;
2005;308;-9,4;-10,8;-8,2;94,7;2,39;2,85;729,6;4,40;47,0;38,0;0,81;275,6;260,9;0;
2005;309;-10,7;-12,1;-9,9;88,1;2,00;2,38;732,3;3,08;69,2;52,4;0,76;259,0;255,6;0;
2005;310;-10,8;-12,2;-9,1;92,9;2,10;2,50;729,7;2,16;41,0;32,1;0,78;266,7;255,4;0;
2005;311;-12,3;-13,1;-11,4;90,1;1,81;2,15;736,3;3,27;78,0;64,4;0,83;256,0;249,6;0;
2005;312;-12,4;-13,3;-11,5;96,0;1,90;2,27;740,8;4,75;63,4;52,9;0,83;264,9;249,2;0;
2005;313;-7,4;-11,6;0,5;100,0;2,99;3,57;743,2;6,09;29,8;25,0;0,84;293,6;269,0;0;
2005;314;-1,4;-4,2;0,7;92,4;4,27;5,08;737,1;5,90;60,8;50,4;0,83;307,7;294,0;0;
2005;315;-8,3;-11,0;-4,2;95,7;2,63;3,13;734,7;5,06;38,3;30,7;0,80;281,9;265,1;0;
2005;316;-11,3;-12,6;-10,3;91,1;1,98;2,35;738,9;3,21;41,4;35,2;0,85;261,6;253,3;0;
2005;317;-11,9;-12,9;-10,7;98,8;2,04;2,43;736,4;4,50;20,7;17,5;0,84;271,3;251,0;0;
2005;318;-13,0;-14,4;-10,7;83,2;1,57;1,87;744,0;3,40;76,0;57,9;0,76;242,2;246,7;0;
2005;319;-13,6;-15,3;-8,3;94,8;1,71;2,04;749,5;3,79;48,1;40,5;0,84;258,0;244,6;0;
2005;320;-7,1;-8,4;-6,0;89,0;2,69;3,19;748,5;5,70;67,7;56,0;0,83;275,6;270,1;0;
2005;321;-5,6;-10,4;0,1;67,2;2,28;2,71;753,4;3,22;60,5;51,1;0,84;243,8;276,5;0;
2005;322;-4,3;-7,2;-2,7;87,1;3,27;3,89;750,0;4,56;35,1;29,3;0,83;284,9;281,9;0;
2005;323;-0,9;-5,8;4,7;71,2;3,43;4,09;755,0;2,53;138,4;103,1;0,74;270,0;296,6;0;
2005;324;-0,5;-2,1;1,5;68,6;3,34;4,05;754,0;4,46;60,7;47,4;0,78;228,0;286,2;1;
2005;325;0,1;-1,9;1,6;52,0;2,64;3,20;755,7;5,38;64,3;50,0;0,78;199,2;279,4;1;
2005;326;2,9;1,0;4,4;30,2;1,87;2,26;753,0;5,91;83,0;66,1;0,80;188,1;280,1;1;
2005;327;1,1;-2,6;4,2;28,2;1,54;1,86;750,9;3,85;80,4;63,8;0,79;183,4;265,1;1;
2005;328;1,8;-1,1;3,3;23,7;1,37;1,64;745,8;5,17;80,1;63,7;0,80;176,8;269,3;1;
2005;329;-3,3;-5,7;-0,2;62,7;2,45;2,90;736,7;2,49;51,7;38,9;0,75;239,2;273,3;1;
2005;330;-7,8;-10,1;-4,4;99,8;2,84;3,39;734,4;4,55;40,3;30,7;0,76;291,1;267,1;0;
2005;331;-10,9;-13,1;-9,0;91,5;2,05;2,44;743,1;5,14;35,1;28,0;0,80;263,8;254,9;0;
2005;332;-14,6;-17,1;-12,5;100,0;1,86;2,21;743,5;5,44;38,3;31,3;0,82;262,1;240,8;0;
2005;333;-19,0;-23,3;-15,9;100,0;1,16;1,38;732,8;1,91;59,3;41,8;0,70;244,3;224,7;0;
2005;334;-21,5;-24,4;-18,0;100,0;1,58;1,89;734,6;1,75;79,6;55,5;0,70;235,2;216,0;0;
2005;335;-20,7;-22,8;-16,8;100,0;1,16;1,39;732,0;4,33;32,1;23,0;0,72;237,9;218,7;0;
2005;336;-20,2;-25,2;-16,8;96,5;1,00;1,19;725,2;2,66;25,8;21,9;0,85;234,7;220,5;0;
2005;337;-18,8;-20,3;-16,9;87,5;1,02;1,22;733,9;2,60;40,3;35,9;0,89;227,2;225,4;0;
2005;338;-18,5;-21,1;-15,7;71,3;0,85;1,02;741,1;4,40;73,0;58,4;0,80;204,8;226,3;0;
2005;339;-15,0;-21,5;-11,4;63,2;1,00;1,21;740,6;4,72;39,3;30,8;0,79;204,1;239,1;0;
2005;340;-20,8;-22,4;-16,6;100,0;1,39;1,66;744,0;3,88;62,7;47,3;0,76;237,5;218,2;0;
2005;341;-15,9;-23,0;-10,1;100,0;2,25;2,69;743,2;2,75;67,9;47,9;0,70;256,9;235,7;0;
2005;342;-10,0;-13,0;-3,3;77,7;1,87;2,23;744,1;3,80;68,8;50,4;0,73;244,9;258,5;0;
2005;343;-5,7;-8,2;-1,5;66,2;2,22;2,65;746,0;5,77;45,6;34,1;0,75;241,5;275,9;0;
2005;344;-3,4;-8,8;-1,5;80,4;3,20;3,81;751,3;5,29;30,9;24,1;0,78;276,2;285,5;0;
2005;345;-3,0;-5,8;-0,3;65,8;2,70;3,23;749,1;3,59;42,7;34,5;0,81;251,2;287,3;0;
2005;346;-7,1;-12,0;-4,3;76,3;2,30;2,74;739,8;3,20;55,9;47,1;0,84;253,8;270,1;0;
2005;347;-11,4;-12,0;-9,9;75,6;1,63;1,94;739,3;3,11;37,9;31,5;0,83;236,2;253,0;0;
2005;348;-15,0;-17,4;-13,1;81,3;1,32;1,56;746,3;1,86;75,7;57,6;0,76;232,0;239,3;0;
2005;349;-12,4;-14,6;-9,9;69,4;1,39;1,64;745,4;1,41;51,3;42,6;0,83;222,7;249,2;0;
2005;350;-13,6;-17,9;-9,7;61,7;1,12;1,32;741,1;3,06;23,4;19,1;0,82;206,3;244,4;0;
2005;351;-16,0;-19,0;-12,8;100,0;1,63;1,93;744,3;3,33;45,6;36,6;0,80;256,2;235,5;0;
2005;352;-11,5;-13,9;-6,9;100,0;2,25;2,68;746,0;2,28;37,5;31,3;0,83;275,0;252,5;0;
2005;353;-8,6;-11,1;-5,5;40,2;1,08;1,28;746,7;3,84;38,5;31,6;0,82;186,9;263,9;0;
2005;354;-3,4;-5,7;-1,0;95,4;3,83;4,54;747,2;2,86;49,8;38,5;0,77;304,0;285,6;0;
2005;355;-4,0;-4,8;-3,1;100,0;4,05;4,81;741,3;4,11;51,2;37,3;0,73;309,7;283,1;0;
